Date,SPY,SSO,UPRO,^VIX
2009-06-25,68.78130340576172,3.007843255996704,1.1403549909591675,26.360000610351562
2009-06-26,68.60202026367188,2.994035005569458,1.134442925453186,25.93000030517578
2009-06-29,69.24443054199219,3.050417423248291,1.166629672050476,25.350000381469727
2009-06-30,68.68418884277344,3.007843255996704,1.1387784481048584,26.350000381469727
2009-07-01,68.96805572509766,3.022801637649536,1.1509965658187866,26.219999313354492
2009-07-02,67.08566284179688,2.860557794570923,1.0560111999511719,27.950000762939453
2009-07-06,67.07820129394531,2.861707925796509,1.058900237083435,29.0
2009-07-07,65.7784652709961,2.747792959213257,0.992949366569519,30.850000381469727
2009-07-08,65.73365020751953,2.7443394660949707,0.9941318035125732,31.299999237060547
2009-07-09,65.86062622070312,2.7616000175476074,1.0003060102462769,29.780000686645508
2009-07-10,65.70380401611328,2.7397377490997314,0.9907159805297852,29.020000457763672
2009-07-13,67.30233001708984,2.876666784286499,1.0631048679351807,26.309999465942383
2009-07-14,67.68327331542969,2.910036325454712,1.0849131345748901,25.020000457763672
2009-07-15,69.66271209716797,3.073430299758911,1.1776655912399292,25.889999389648438
2009-07-16,69.55072021484375,3.1286633014678955,1.2091959714889526,25.420000076293945
2009-07-17,70.31259155273438,3.133265972137451,1.207094430923462,24.34000015258789
2009-07-20,71.0595703125,3.195401668548584,1.2437485456466675,24.399999618530273
2009-07-21,71.38823699951172,3.2276206016540527,1.26437509059906,23.8700008392334
2009-07-22,71.37328338623047,3.2264695167541504,1.2620102167129517,23.469999313354492
2009-07-23,72.94940948486328,3.3668510913848877,1.3458287715911865,23.43000030517578
2009-07-24,73.24822235107422,3.4036717414855957,1.3634331226348877,23.09000015258789
2009-07-27,73.46484375,3.4209327697753906,1.3749943971633911,24.280000686645508
2009-07-28,73.12122344970703,3.4013702869415283,1.3633021116256714,25.010000228881836
2009-07-29,72.94194030761719,3.3680014610290527,1.3451720476150513,25.610000610351562
2009-07-30,73.70382690429688,3.43819260597229,1.3872132301330566,25.399999618530273
2009-07-31,73.80841827392578,3.442793846130371,1.3912853002548218,25.920000076293945
2009-08-03,75.02597045898438,3.5601627826690674,1.4613090753555298,25.559999465942383
2009-08-04,75.22022247314453,3.5808749198913574,1.4753661155700684,24.889999389648438
2009-08-05,75.00361633300781,3.5613131523132324,1.4648566246032715,24.899999618530273
2009-08-06,74.61518859863281,3.5256428718566895,1.4373985528945923,25.670000076293945
2009-08-07,75.59369659423828,3.6130928993225098,1.4944167137145996,24.760000228881836
2009-08-10,75.43685913085938,3.5958330631256104,1.4840377569198608,24.989999771118164
2009-08-11,74.49567413330078,3.5049312114715576,1.427545189857483,25.989999771118164
2009-08-12,75.2949447631836,3.5820248126983643,1.4772062301635742,25.450000762939453
2009-08-13,75.87007141113281,3.6395585536956787,1.510575532913208,24.709999084472656
2009-08-14,75.28744506835938,3.5877795219421387,1.474447250366211,24.270000457763672
2009-08-17,73.43495178222656,3.4013702869415283,1.364878535270691,27.889999389648438
2009-08-18,74.0175552368164,3.4646573066711426,1.4023211002349854,26.18000030517578
2009-08-19,74.6674575805664,3.5244925022125244,1.4345089197158813,26.260000228881836
2009-08-20,75.43685913085938,3.5981357097625732,1.4814101457595825,25.09000015258789
2009-08-21,76.91582489013672,3.728160858154297,1.5641776323318481,25.010000228881836
2009-08-24,76.90836334228516,3.7373642921447754,1.5639146566390991,25.139999389648438
2009-08-25,77.0577392578125,3.7477219104766846,1.5742945671081543,24.920000076293945
2009-08-26,77.06525421142578,3.7488715648651123,1.5738998651504517,24.950000762939453
2009-08-27,77.23704528808594,3.7695841789245605,1.5884830951690674,24.68000030517578
2009-08-28,77.22207641601562,3.7557759284973145,1.5828332901000977,24.760000228881836
2009-08-31,76.53488159179688,3.697091817855835,1.5439460277557373,26.010000228881836
2009-09-01,74.84669494628906,3.5325474739074707,1.4384496212005615,29.149999618530273
2009-09-02,74.5628662109375,3.5060815811157227,1.4247865676879883,28.899999618530273
2009-09-03,75.182861328125,3.5624639987945557,1.456316590309143,27.100000381469727
2009-09-04,76.2361068725586,3.663722276687622,1.5200345516204834,25.260000228881836
2009-09-08,76.89342498779297,3.7270095348358154,1.5599740743637085,25.6200008392334
2009-09-09,77.4835433959961,3.785693883895874,1.5966283082962036,24.31999969482422
2009-09-10,78.27533721923828,3.8581860065460205,1.6452375650405884,23.549999237060547
2009-09-11,78.2603988647461,3.8593368530273438,1.6428734064102173,24.149999618530273
2009-09-14,78.64134216308594,3.9042112827301025,1.670593500137329,23.860000610351562
2009-09-15,78.97000885009766,3.9272263050079346,1.689643144607544,23.420000076293945
2009-09-16,80.16519165039062,4.046895503997803,1.7646600008010864,23.690000534057617
2009-09-17,80.04566955566406,4.038839340209961,1.7562519311904907,23.649999618530273
2009-09-18,80.0967025756836,4.043442726135254,1.761374831199646,23.920000076293945
2009-09-21,79.89405059814453,4.0273332595825195,1.7465298175811768,24.059999465942383
2009-09-22,80.35938262939453,4.0687575340271,1.7793738842010498,23.079999923706055
2009-09-23,79.69142150878906,4.005470275878906,1.7316830158233643,23.489999771118164
2009-09-24,78.81330108642578,3.9131786823272705,1.675729513168335,24.950000762939453
2009-09-25,78.39300537109375,3.876263380050659,1.6499673128128052,25.610000610351562
2009-09-28,79.79646301269531,4.006624698638916,1.735930323600769,24.8799991607666
2009-09-29,79.55630493164062,3.983551025390625,1.7260713577270508,25.190000534057617
2009-09-30,79.24861907958984,3.959324598312378,1.7033324241638184,25.610000610351562
2009-10-01,77.28221130371094,3.762051582336426,1.5745210647583008,28.270000457763672
